ROI_COL,ROI_INDEX,ROI_LEVEL,ROI_NAME,NUM_VOX,HEMISPHERE,TISSUE_SEG,SUBGROUP_0,SUBGROUP_1,SUBGROUP_2,PAIR_INDEX
R160,160,SINGLE,Right OFuG  occipital fusiform gyrus,4857.3,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_INFERIOR_GM,42
R161,161,SINGLE,Left OFuG  occipital fusiform gyrus,5087.5,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_INFERIOR_GM,42
R162,162,SINGLE,Right OpIFG opercular part of the inferior frontal gyrus,4094.1,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,22
R163,163,SINGLE,Left OpIFG opercular part of the inferior frontal gyrus,3747,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,22
R164,164,SINGLE,Right OrIFG orbital part of the inferior frontal gyrus,1944.4,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,23
R165,165,SINGLE,Left OrIFG orbital part of the inferior frontal gyrus,1901.2,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,23
R166,166,SINGLE,Right PCgG  posterior cingulate gyrus,4324.3,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,39
R167,167,SINGLE,Left PCgG  posterior cingulate gyrus,5181.6,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_CINGULATE_GM,39
R168,168,SINGLE,Right PCu   precuneus,11732.1,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_MEDIAL_GM,56
R169,169,SINGLE,Left PCu   precuneus,11737.4,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_MEDIAL_GM,56
R170,170,SINGLE,Right PHG   parahippocampal gyrus,3257.5,R,GM,LIMBIC,LIMBIC_GM,LIMBIC_MEDIALTEMPORAL_GM,41
R171,171,SINGLE,Left PHG   parahippocampal gyrus,3536.5,L,GM,LIMBIC,LIMBIC_GM,LIMBIC_MEDIALTEMPORAL_GM,41
R172,172,SINGLE,Right PIns  posterior insula,2532,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM,19
R173,173,SINGLE,Left PIns  posterior insula,2479.5,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INSULAR_GM,19
R174,174,SINGLE,Right PO    parietal operculum,2414.5,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,35
R175,175,SINGLE,Left PO    parietal operculum,2768.9,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_OPERCULAR_GM,35
R176,176,SINGLE,Right PoG   postcentral gyrus,11680.7,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,52
R177,177,SINGLE,Left PoG   postcentral gyrus,13593.5,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,52
R178,178,SINGLE,Right POrG  posterior orbital gyrus,2504.8,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,17
R179,179,SINGLE,Left POrG  posterior orbital gyrus,2915.7,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_INFERIOR_GM,17
R180,180,SINGLE,Right PP    planum polare,2448.5,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,63
R181,181,SINGLE,Left PP    planum polare,2629.8,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,63
R182,182,SINGLE,Right PrG   precentral gyrus,14641.2,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,24
R183,183,SINGLE,Left PrG   precentral gyrus,14664.6,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,24
R184,184,SINGLE,Right PT    planum temporale,2325.5,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,64
R185,185,SINGLE,Left PT    planum temporale,2511.3,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,64
R186,186,SINGLE,Right SCA   subcallosal area,1236,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,31
R187,187,SINGLE,Left SCA   subcallosal area,1220.8,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,31
R190,190,SINGLE,Right SFG   superior frontal gyrus,16696.7,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,25
R191,191,SINGLE,Left SFG   superior frontal gyrus,16867,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,25
R192,192,SINGLE,Right SMC   supplementary motor cortex,6368.8,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,32
R193,193,SINGLE,Left SMC   supplementary motor cortex,6723.3,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_MEDIAL_GM,32
R194,194,SINGLE,Right SMG   supramarginal gyrus,9193,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,53
R195,195,SINGLE,Left SMG   supramarginal gyrus,9984.3,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,53
R196,196,SINGLE,Right SOG   superior occipital gyrus,4967,R,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,46
R197,197,SINGLE,Left SOG   superior occipital gyrus,4152,L,GM,OCCIPITAL,OCCIPITAL_GM,OCCIPITAL_LATERAL_GM,46
R198,198,SINGLE,Right SPL   superior parietal lobule,11792.1,R,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,54
R199,199,SINGLE,Left SPL   superior parietal lobule,11732.8,L,GM,PARIETAL,PARIETAL_GM,PARIETAL_LATERAL_GM,54
R200,200,SINGLE,Right STG   superior temporal gyrus,9031.2,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,61
R201,201,SINGLE,Left STG   superior temporal gyrus,8451.3,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,61
R202,202,SINGLE,Right TMP   temporal pole,8883.7,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,62
R203,203,SINGLE,Left TMP   temporal pole,8632.1,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_LATERAL_GM,62
R204,204,SINGLE,Right TrIFG triangular part of the inferior frontal gyrus,4522.4,R,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,26
R205,205,SINGLE,Left TrIFG triangular part of the inferior frontal gyrus,5256.2,L,GM,FRONTAL,FRONTAL_GM,FRONTAL_LATERAL_GM,26
R206,206,SINGLE,Right TTG   transverse temporal gyrus,1529.1,R,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,65
R207,207,SINGLE,Left TTG   transverse temporal gyrus,1821.1,L,GM,TEMPORAL,TEMPORAL_GM,TEMPORAL_SUPRATEMPORAL_GM,65
R301,301,COMPOSITE,FRONTAL_INFERIOR_GM,,,,,,,
R302,302,COMPOSITE,FRONTAL_INSULAR_GM,,,,,,,
R303,303,COMPOSITE,FRONTAL_LATERAL_GM,,,,,,,
R304,304,COMPOSITE,FRONTAL_MEDIAL_GM,,,,,,,
R305,305,COMPOSITE,FRONTAL_OPERCULAR_GM,,,,,,,
R306,306,COMPOSITE,LIMBIC_CINGULATE_GM,,,,,,,
R307,307,COMPOSITE,LIMBIC_MEDIALTEMPORAL_GM,,,,,,,
R308,308,COMPOSITE,OCCIPITAL_INFERIOR_GM,,,,,,,
R309,309,COMPOSITE,OCCIPITAL_LATERAL_GM,,,,,,,
R310,310,COMPOSITE,OCCIPITAL_MEDIAL_GM,,,,,,,
R311,311,COMPOSITE,PARIETAL_LATERAL_GM,,,,,,,
R312,312,COMPOSITE,PARIETAL_MEDIAL_GM,,,,,,,
R313,313,COMPOSITE,TEMPORAL_INFERIOR_GM,,,,,,,
R314,314,COMPOSITE,TEMPORAL_LATERAL_GM,,,,,,,
R315,315,COMPOSITE,TEMPORAL_SUPRATEMPORAL_GM,,,,,,,
R316,316,COMPOSITE,FRONTAL_INFERIOR_GM_L,,,,,,,
R317,317,COMPOSITE,FRONTAL_INSULAR_GM_L,,,,,,,
R318,318,COMPOSITE,FRONTAL_LATERAL_GM_L,,,,,,,
R319,319,COMPOSITE,FRONTAL_MEDIAL_GM_L,,,,,,,
R320,320,COMPOSITE,FRONTAL_OPERCULAR_GM_L,,,,,,,
R321,321,COMPOSITE,LIMBIC_CINGULATE_GM_L,,,,,,,
R322,322,COMPOSITE,LIMBIC_MEDIALTEMPORAL_GM_L,,,,,,,
R323,323,COMPOSITE,OCCIPITAL_INFERIOR_GM_L,,,,,,,
R324,324,COMPOSITE,OCCIPITAL_LATERAL_GM_L,,,,,,,
R325,325,COMPOSITE,OCCIPITAL_MEDIAL_GM_L,,,,,,,
R326,326,COMPOSITE,PARIETAL_LATERAL_GM_L,,,,,,,
R327,327,COMPOSITE,PARIETAL_MEDIAL_GM_L,,,,,,,
R328,328,COMPOSITE,TEMPORAL_INFERIOR_GM_L,,,,,,,
R329,329,COMPOSITE,TEMPORAL_LATERAL_GM_L,,,,,,,
R330,330,COMPOSITE,TEMPORAL_SUPRATEMPORAL_GM_L,,,,,,,
R331,331,COMPOSITE,FRONTAL_INFERIOR_GM_R,,,,,,,
R332,332,COMPOSITE,FRONTAL_INSULAR_GM_R,,,,,,,
R333,333,COMPOSITE,FRONTAL_LATERAL_GM_R,,,,,,,
R334,334,COMPOSITE,FRONTAL_MEDIAL_GM_R,,,,,,,
R335,335,COMPOSITE,FRONTAL_OPERCULAR_GM_R,,,,,,,
R336,336,COMPOSITE,LIMBIC_CINGULATE_GM_R,,,,,,,
R337,337,COMPOSITE,LIMBIC_MEDIALTEMPORAL_GM_R,,,,,,,
R338,338,COMPOSITE,OCCIPITAL_INFERIOR_GM_R,,,,,,,
R339,339,COMPOSITE,OCCIPITAL_LATERAL_GM_R,,,,,,,
R340,340,COMPOSITE,OCCIPITAL_MEDIAL_GM_R,,,,,,,
R341,341,COMPOSITE,PARIETAL_LATERAL_GM_R,,,,,,,
R342,342,COMPOSITE,PARIETAL_MEDIAL_GM_R,,,,,,,
R343,343,COMPOSITE,TEMPORAL_INFERIOR_GM_R,,,,,,,
R344,344,COMPOSITE,TEMPORAL_LATERAL_GM_R,,,,,,,
R345,345,COMPOSITE,TEMPORAL_SUPRATEMPORAL_GM_R,,,,,,,
R401,401,COMPOSITE,BASAL_GANGLIA,,,,,,,
R402,402,COMPOSITE,DEEP_GM,,,,,,,
R403,403,COMPOSITE,DEEP_WM,,,,,,,
R404,404,COMPOSITE,FRONTAL_GM,,,,,,,
R405,405,COMPOSITE,FRONTAL_WM,,,,,,,
R406,406,COMPOSITE,LIMBIC_GM,,,,,,,
R407,407,COMPOSITE,OCCIPITAL_GM,,,,,,,
R408,408,COMPOSITE,OCCIPITAL_WM,,,,,,,
R409,409,COMPOSITE,PARIETAL_GM,,,,,,,
R410,410,COMPOSITE,PARIETAL_WM,,,,,,,
R411,411,COMPOSITE,TEMPORAL_GM,,,,,,,
R412,412,COMPOSITE,TEMPORAL_WM,,,,,,,
R413,413,COMPOSITE,BASAL_GANGLIA_L,,,,,,,
R414,414,COMPOSITE,DEEP_GM_L,,,,,,,
R415,415,COMPOSITE,DEEP_WM_L,,,,,,,
R416,416,COMPOSITE,FRONTAL_GM_L,,,,,,,
R417,417,COMPOSITE,FRONTAL_WM_L,,,,,,,
R418,418,COMPOSITE,LIMBIC_GM_L,,,,,,,
R419,419,COMPOSITE,OCCIPITAL_GM_L,,,,,,,
R420,420,COMPOSITE,OCCIPITAL_WM_L,,,,,,,
R421,421,COMPOSITE,PARIETAL_GM_L,,,,,,,
R422,422,COMPOSITE,PARIETAL_WM_L,,,,,,,
R423,423,COMPOSITE,TEMPORAL_GM_L,,,,,,,
R424,424,COMPOSITE,TEMPORAL_WM_L,,,,,,,
R425,425,COMPOSITE,BASAL_GANGLIA_R,,,,,,,
R426,426,COMPOSITE,DEEP_GM_R,,,,,,,
R427,427,COMPOSITE,DEEP_WM_R,,,,,,,
R428,428,COMPOSITE,FRONTAL_GM_R,,,,,,,
R429,429,COMPOSITE,FRONTAL_WM_R,,,,,,,
R430,430,COMPOSITE,LIMBIC_GM_R,,,,,,,
R431,431,COMPOSITE,OCCIPITAL_GM_R,,,,,,,
R432,432,COMPOSITE,OCCIPITAL_WM_R,,,,,,,
R433,433,COMPOSITE,PARIETAL_GM_R,,,,,,,
R434,434,COMPOSITE,PARIETAL_WM_R,,,,,,,
R435,435,COMPOSITE,TEMPORAL_GM_R,,,,,,,
R436,436,COMPOSITE,TEMPORAL_WM_R,,,,,,,
R501,501,COMPOSITE,CORPUS_CALLOSUM,,,,,,,
R502,502,COMPOSITE,CEREBELLUM,,,,,,,
R503,503,COMPOSITE,DEEP_WM_GM,,,,,,,
R504,504,COMPOSITE,FRONTAL,,,,,,,
R505,505,COMPOSITE,LIMBIC,,,,,,,
R506,506,COMPOSITE,OCCIPITAL,,,,,,,
R507,507,COMPOSITE,PARIETAL,,,,,,,
R508,508,COMPOSITE,TEMPORAL,,,,,,,
R509,509,COMPOSITE,VENTRICLE,,,,,,,
R510,510,COMPOSITE,CEREBELLUM_L,,,,,,,
R511,511,COMPOSITE,DEEP_WM_GM_L,,,,,,,
R512,512,COMPOSITE,FRONTAL_L,,,,,,,
R513,513,COMPOSITE,LIMBIC_L,,,,,,,
R514,514,COMPOSITE,OCCIPITAL_L,,,,,,,
R515,515,COMPOSITE,PARIETAL_L,,,,,,,
R516,516,COMPOSITE,TEMPORAL_L,,,,,,,
R517,517,COMPOSITE,VENTRICLE_L,,,,,,,
R518,518,COMPOSITE,CEREBELLUM_R,,,,,,,
R519,519,COMPOSITE,DEEP_WM_GM_R,,,,,,,
R520,520,COMPOSITE,FRONTAL_R,,,,,,,
R521,521,COMPOSITE,LIMBIC_R,,,,,,,
R522,522,COMPOSITE,OCCIPITAL_R,,,,,,,
R523,523,COMPOSITE,PARIETAL_R,,,,,,,
R524,524,COMPOSITE,TEMPORAL_R,,,,,,,
R525,525,COMPOSITE,VENTRICLE_R,,,,,,,
R601,601,COMPOSITE,GM,,,,,,,
R604,604,COMPOSITE,WM,,,,,,,
R606,606,COMPOSITE,GM_L,,,,,,,
R607,607,COMPOSITE,WM_L,,,,,,,
R613,613,COMPOSITE,GM_R,,,,,,,
R614,614,COMPOSITE,WM_R,,,,,,,
R701,701,COMPOSITE,TOTALBRAIN,,,,,,,
R702,702,COMPOSITE,ICV,,,,,,,
